Time,sm_surface
"Aug 27, 2022",0.308
"Aug 27, 2022",0.307
"Aug 27, 2022",0.312
"Aug 27, 2022",0.317
"Aug 28, 2022",0.321
"Aug 28, 2022",0.325
"Aug 28, 2022",0.325
"Aug 28, 2022",0.315
"Aug 28, 2022",0.306
"Aug 28, 2022",0.304
"Aug 28, 2022",0.307
"Aug 28, 2022",0.309
"Aug 29, 2022",0.312
"Aug 29, 2022",0.316
"Aug 29, 2022",0.317
"Aug 29, 2022",0.309
"Aug 29, 2022",0.301
"Aug 29, 2022",0.301
"Aug 29, 2022",0.305
"Aug 29, 2022",0.309
"Aug 30, 2022",0.314
"Aug 30, 2022",0.318
"Aug 30, 2022",0.319
"Aug 30, 2022",0.314
"Aug 30, 2022",0.308
"Aug 30, 2022",0.309
"Aug 30, 2022",0.313
"Aug 30, 2022",0.316
"Aug 31, 2022",0.32
"Aug 31, 2022",0.322
"Aug 31, 2022",0.323
"Aug 31, 2022",0.317
"Aug 31, 2022",0.31
"Aug 31, 2022",0.309
"Aug 31, 2022",0.311
"Aug 31, 2022",0.314
"Sep 1, 2022",0.317
"Sep 1, 2022",0.321
"Sep 1, 2022",0.322
"Sep 1, 2022",0.315
"Sep 1, 2022",0.308
"Sep 1, 2022",0.309
"Sep 1, 2022",0.312
"Sep 1, 2022",0.316
"Sep 2, 2022",0.319
"Sep 2, 2022",0.323
"Sep 2, 2022",0.323
"Sep 2, 2022",0.315
"Sep 2, 2022",0.306
"Sep 2, 2022",0.305
"Sep 2, 2022",0.308
"Sep 2, 2022",0.311
"Sep 3, 2022",0.313
"Sep 3, 2022",0.316
"Sep 3, 2022",0.316
"Sep 3, 2022",0.308
"Sep 3, 2022",0.298
"Sep 3, 2022",0.298
"Sep 3, 2022",0.301
"Sep 3, 2022",0.304
"Sep 4, 2022",0.308
"Sep 4, 2022",0.312
"Sep 4, 2022",0.312
"Sep 4, 2022",0.302
"Sep 4, 2022",0.292
"Sep 4, 2022",0.29
