Time,sm_surface
"Aug 20, 2023",0.105
"Aug 20, 2023",0.106
"Aug 20, 2023",0.105
"Aug 20, 2023",0.102
"Aug 20, 2023",0.099
"Aug 20, 2023",0.099
"Aug 20, 2023",0.103
"Aug 20, 2023",0.104
"Aug 21, 2023",0.104
"Aug 21, 2023",0.112
"Aug 21, 2023",0.112
"Aug 21, 2023",0.109
"Aug 21, 2023",0.106
"Aug 21, 2023",0.105
"Aug 21, 2023",0.105
"Aug 21, 2023",0.105
"Aug 22, 2023",0.106
"Aug 22, 2023",0.114
"Aug 22, 2023",0.115
"Aug 22, 2023",0.111
"Aug 22, 2023",0.108
"Aug 22, 2023",0.116
"Aug 22, 2023",0.116
"Aug 22, 2023",0.116
"Aug 23, 2023",0.117
"Aug 23, 2023",0.117
"Aug 23, 2023",0.117
"Aug 23, 2023",0.114
"Aug 23, 2023",0.11
"Aug 23, 2023",0.109
"Aug 23, 2023",0.109
"Aug 23, 2023",0.11
"Aug 24, 2023",0.111
"Aug 24, 2023",0.111
"Aug 24, 2023",0.111
"Aug 24, 2023",0.11
"Aug 24, 2023",0.107
"Aug 24, 2023",0.106
"Aug 24, 2023",0.107
"Aug 24, 2023",0.108
"Aug 25, 2023",0.108
"Aug 25, 2023",0.11
"Aug 25, 2023",0.11
"Aug 25, 2023",0.109
"Aug 25, 2023",0.105
"Aug 25, 2023",0.103
"Aug 25, 2023",0.103
"Aug 25, 2023",0.102
"Aug 26, 2023",0.102
"Aug 26, 2023",0.103
"Aug 26, 2023",0.103
"Aug 26, 2023",0.101
"Aug 26, 2023",0.098
"Aug 26, 2023",0.098
"Aug 26, 2023",0.098
"Aug 26, 2023",0.098
"Aug 27, 2023",0.099
"Aug 27, 2023",0.087
"Aug 27, 2023",0.088
"Aug 27, 2023",0.087
"Aug 27, 2023",0.086
"Aug 27, 2023",0.086
"Aug 27, 2023",0.087
"Aug 27, 2023",0.088
"Aug 28, 2023",0.089
"Aug 28, 2023",0.09
"Aug 28, 2023",0.091
"Aug 28, 2023",0.09
"Aug 28, 2023",0.088
"Aug 28, 2023",0.088
"Aug 28, 2023",0.086
"Aug 28, 2023",0.087
"Aug 29, 2023",0.088
"Aug 29, 2023",0.093
"Aug 29, 2023",0.094
"Aug 29, 2023",0.093
"Aug 29, 2023",0.091
"Aug 29, 2023",0.091
"Aug 29, 2023",0.091
"Aug 29, 2023",0.092
"Aug 30, 2023",0.093
"Aug 30, 2023",0.103
"Aug 30, 2023",0.103
"Aug 30, 2023",0.101
"Aug 30, 2023",0.099
"Aug 30, 2023",0.104
"Aug 30, 2023",0.104
"Aug 30, 2023",0.105
"Aug 31, 2023",0.106
"Aug 31, 2023",0.107
"Aug 31, 2023",0.106
"Aug 31, 2023",0.104
"Aug 31, 2023",0.101
"Aug 31, 2023",0.1
"Aug 31, 2023",0.094
"Aug 31, 2023",0.095
"Sep 1, 2023",0.096
"Sep 1, 2023",0.1
"Sep 1, 2023",0.101
"Sep 1, 2023",0.099
"Sep 1, 2023",0.096
"Sep 1, 2023",0.095
"Sep 1, 2023",0.096
"Sep 1, 2023",0.097
"Sep 2, 2023",0.098
"Sep 2, 2023",0.098
"Sep 2, 2023",0.098
"Sep 2, 2023",0.095
"Sep 2, 2023",0.092
"Sep 2, 2023",0.102
"Sep 2, 2023",0.102
"Sep 2, 2023",0.103
"Sep 3, 2023",0.107
"Sep 3, 2023",0.108
"Sep 3, 2023",0.108
"Sep 3, 2023",0.106
"Sep 3, 2023",0.103
"Sep 3, 2023",0.101
"Sep 3, 2023",0.101
"Sep 3, 2023",0.102
"Sep 4, 2023",0.103
"Sep 4, 2023",0.107
"Sep 4, 2023",0.107
"Sep 4, 2023",0.104
"Sep 4, 2023",0.1
"Sep 4, 2023",0.099
"Sep 4, 2023",0.1
"Sep 4, 2023",0.1
"Sep 5, 2023",0.101
"Sep 5, 2023",0.102
"Sep 5, 2023",0.101
"Sep 5, 2023",0.098
"Sep 5, 2023",0.095
"Sep 5, 2023",0.093
"Sep 5, 2023",0.091
"Sep 5, 2023",0.092
"Sep 6, 2023",0.092
"Sep 6, 2023",0.094
"Sep 6, 2023",0.094
"Sep 6, 2023",0.091
"Sep 6, 2023",0.089
"Sep 6, 2023",0.088
"Sep 6, 2023",0.088
"Sep 6, 2023",0.089
"Sep 7, 2023",0.089
"Sep 7, 2023",0.087
"Sep 7, 2023",0.087
"Sep 7, 2023",0.085
"Sep 7, 2023",0.083
"Sep 7, 2023",0.085
"Sep 7, 2023",0.085
"Sep 7, 2023",0.086
"Sep 8, 2023",0.087
"Sep 8, 2023",0.088
"Sep 8, 2023",0.088
"Sep 8, 2023",0.086
"Sep 8, 2023",0.084
"Sep 8, 2023",0.084
"Sep 8, 2023",0.081
"Sep 8, 2023",0.083
"Sep 9, 2023",0.084
"Sep 9, 2023",0.09
"Sep 9, 2023",0.09
"Sep 9, 2023",0.087
"Sep 9, 2023",0.084
"Sep 9, 2023",0.083
"Sep 9, 2023",0.083
"Sep 9, 2023",0.084
"Sep 10, 2023",0.085
"Sep 10, 2023",0.085
"Sep 10, 2023",0.085
"Sep 10, 2023",0.083
"Sep 10, 2023",0.08
"Sep 10, 2023",0.086
"Sep 10, 2023",0.087
"Sep 10, 2023",0.088
"Sep 11, 2023",0.089
"Sep 11, 2023",0.091
"Sep 11, 2023",0.092
"Sep 11, 2023",0.09
"Sep 11, 2023",0.089
"Sep 11, 2023",0.088
"Sep 11, 2023",0.089
"Sep 11, 2023",0.09
"Sep 12, 2023",0.091
"Sep 12, 2023",0.07
"Sep 12, 2023",0.071
"Sep 12, 2023",0.071
"Sep 12, 2023",0.071
